"bodyid","type","cbf","m.type","c.type","cbf.change","class","cell.type","ItoLee_Hemilineage","Hartenstein_Hemilineage","FAFB.match","FAFB.match.quality","LM.match","LM.match.quality","published","type.change","pnt","connectivity.type","is.lhn","layer","ct.layer","classic.transmitter","other.transmitter"
638472166,"LH038a","ADL15","ADL15j","ADL15m_pct","FALSE","LHON","LHAD1d1","LHl2_medial","DPLal2_medial","11556378","poor","L2446#2","good",TRUE,FALSE,"LHAD1","LHAD1d1",TRUE,3.68312757201646,4,"acetylcholine","acetylcoline"
5813035242,"LH038a","ADL15","ADL15j","ADL15m_pct","FALSE","LHON","LHAD1d1","LHl2_medial","DPLal2_medial","1811499","medium","none","none",TRUE,FALSE,"LHAD1","LHAD1d1",TRUE,3.50102880658436,4,"acetylcholine","acetylcoline"
575384259,"LH039a","ADL15","ADL15h","ADL15n_pct","FALSE","LHON","LHAD1b4","LHl2_medial","DPLal2_medial","3080225","medium","none","none",FALSE,FALSE,"LHAD1","LHAD1b4",TRUE,3.52587991718427,4,"acetylcholine","acetylcoline"
638136814,"LH039a","ADL15","ADL15h","ADL15n_pct","FALSE","LHON","LHAD1b4","LHl2_medial","DPLal2_medial","3729932","medium","none","none",FALSE,FALSE,"LHAD1","LHAD1b4",TRUE,3.75308641975309,4,"acetylcholine","acetylcoline"
451995734,"LH040a","ADL15","ADL15i","ADL15g_e_pct","FALSE","LHON","LHAD1b6","LHl2_medial","DPLal2_medial","5031366","good","L2278#2","good",FALSE,FALSE,"LHAD1","LHAD1b6b",TRUE,4.20927835051546,4,"acetylcholine","acetylcoline"
611352588,"LH040a","ADL15","ADL15i","ADL15g_e_pct","FALSE","LHON","LHAD1b6","LHl2_medial","DPLal2_medial","3075158","good","none","none",FALSE,FALSE,"LHAD1","LHAD1b6b",TRUE,4.22176165803109,4,"acetylcholine","acetylcoline"
425471220,"LH040b","ADL15","ADL15i","ADL15g_f_pct","FALSE","LHON","LHAD1b6","LHl2_medial","DPLal2_medial","5031366","medium","L1539#1","medium",FALSE,FALSE,"LHAD1","LHAD1b6a",TRUE,3.86645962732919,4,"acetylcholine","acetylcoline"
452336897,"LH040b","ADL15","ADL15i","ADL15g_f_pct","FALSE","LHON","LHAD1b6","LHl2_medial","DPLal2_medial","6852364","medium","none","none",FALSE,FALSE,"LHAD1","LHAD1b6a",TRUE,4.66492146596859,4,"acetylcholine","acetylcoline"
512765816,"LH040b","ADL15","ADL15i","ADL15g_f_pct","FALSE","LHON","LHAD1b6","LHl2_medial","DPLal2_medial","2842610","medium","120726c3","medium",FALSE,FALSE,"LHAD1","LHAD1b6a",TRUE,4.30503144654088,4,"acetylcholine","acetylcoline"
543321179,"LH040c","ADL15","ADL15i","ADL15h_pct","FALSE","LHON","LHAD1b2","LHl2_medial","DPLal2_medial","5030649","good","L2278#3","medium",TRUE,FALSE,"LHAD1","LHAD1b2c",TRUE,3.91855670103093,4,"acetylcholine","acetylcoline"
573683438,"LH040c","ADL15","ADL15i","ADL15h_pct","FALSE","LHON","LHAD1b2","LHl2_medial","DPLal2_medial","4744251","good","none","none",TRUE,FALSE,"LHAD1","LHAD1b2b",TRUE,3.57245632065776,4,"acetylcholine","acetylcoline"
574040939,"LH040c","ADL15","ADL15i","ADL15h_pct","FALSE","LHON","LHAD1b2","LHl2_medial","DPLal2_medial","4744251","medium","none","none",TRUE,FALSE,"LHAD1","LHAD1b2c",TRUE,3.80373831775701,4,"acetylcholine","acetylcoline"
5813052205,"LH040c","ADL15","ADL15i","ADL15h_pct","FALSE","LHON","LHAD1b2","LHl2_medial","DPLal2_medial","3080225","good","L1539#7","good",TRUE,FALSE,"LHAD1","LHAD1b2c",TRUE,3.72559095580678,4,"acetylcholine","acetylcoline"
544107335,"LH040d","ADL15","ADL15i","ADL15p_a_pct","FALSE","LHON","LHAD1b2","LHl2_medial","DPLal2_medial","3080086","good","L1539#3","good",TRUE,FALSE,"LHAD1","LHAD1b2a",TRUE,3.94681960375391,4,"acetylcholine","acetylcoline"
673426956,"LH040d","ADL15","ADL15i","ADL15p_a_pct","FALSE","LHON","LHAD1b2","LHl2_medial","DPLal2_medial","3075158","good","none","none",TRUE,FALSE,"LHAD1","LHAD1b2a",TRUE,3.8027139874739,4,"acetylcholine","acetylcoline"
606461310,"LH040e","ADL15","ADL15i","ADL15p_b_pct","FALSE","LHON","LHAD1b2","LHl2_medial","DPLal2_medial","4970161","good","L1539#10","good",TRUE,FALSE,"LHAD1","LHAD1b2a",TRUE,3.72510373443983,4,"acetylcholine","acetylcoline"
762274975,"LH040e","ADL15","ADL15i","ADL15p_b_pct","FALSE","LHON","LHAD1b2","LHl2_medial","DPLal2_medial","1703751","good","121129c0","good",TRUE,FALSE,"LHAD1","LHAD1b2c",TRUE,3.715625,4,"acetylcholine","acetylcoline"
769199010,"LH040e","ADL15","ADL15i","ADL15p_b_pct","FALSE","LHON","LHAD1b2","LHl2_medial","DPLal2_medial","3080086","medium","120913c1","good",TRUE,FALSE,"LHAD1","LHAD1b2a",TRUE,3.76359832635983,4,"acetylcholine","acetylcoline"
824349873,"LH040e","ADL15","ADL15i","ADL15p_b_pct","FALSE","LHON","LHAD1b2","LHl2_medial","DPLal2_medial","1703751","good","Gad1-F-200039","good",TRUE,FALSE,"LHAD1","LHAD1b2a",TRUE,4.07556935817805,4,"acetylcholine","acetylcoline"
5813013202,"LH040e","ADL15","ADL15i","ADL15p_b_pct","FALSE","LHON","LHAD1b2","LHl2_medial","DPLal2_medial","2969221","poor","none","none",TRUE,FALSE,"LHAD1","LHAD1b2a",TRUE,3.6417445482866,4,"acetylcholine","acetylcoline"
483017681,"LH040f","ADL15","ADL15i","ADL15q_pct","FALSE","LHON","LHAD1b2","LHl2_medial","DPLal2_medial","3080086","good","120704c1","good",TRUE,TRUE,"LHAD1","LHAD1b2b",TRUE,3.80332986472425,4,"acetylcholine","acetylcoline"
729867599,"LH040f","ADL15","ADL15i","ADL15q_pct","FALSE","LHON","LHAD1c1","LHl2_medial","DPLal2_medial","3080183","good","Gad1-F-400233","good",TRUE,TRUE,"LHAD1","LHAD1c1a",TRUE,3.61899791231733,4,"acetylcholine","acetylcoline"
5813022459,"LH040f","ADL15","ADL15i","ADL15q_pct","FALSE","LHON","LHAD1b2","LHl2_medial","DPLal2_medial","3078257","good","none","none",TRUE,TRUE,"LHAD1","LHAD1b2b",TRUE,3.93879668049793,4,"acetylcholine","acetylcoline"
424776680,"LH041a","ADL15","ADL15k","ADL15i_a_pct","FALSE","LHON","LHAD1c2","LHl2_medial","DPLal2_medial","12252260","poor","Gad1-F-300262","good",TRUE,FALSE,"LHAD1","LHAD1c2",TRUE,4.17476732161324,4,"acetylcholine","acetylcoline"
424780893,"LH041a","ADL15","ADL15k","ADL15i_a_pct","FALSE","LHON","LHAD1c2","LHl2_medial","DPLal2_medial","6520279","good","L494#2","good",TRUE,FALSE,"LHAD1","LHAD1c2",TRUE,3.23541666666667,4,"acetylcholine","acetylcoline"
424781115,"LH041a","ADL15","ADL15k","ADL15i_a_pct","FALSE","LHON","LHAD1c2","LHl2_medial","DPLal2_medial","6837598","medium","none","none",TRUE,FALSE,"LHAD1","LHAD1c2",TRUE,3.68404588112617,4,"acetylcholine","acetylcoline"
425121959,"LH041a","ADL15","ADL15k","ADL15i_a_pct","FALSE","LHON","LHAD1c2","LHl2_medial","DPLal2_medial","7803442","medium","L475#2","good",TRUE,FALSE,"LHAD1","LHAD1c2",TRUE,3.4896694214876,4,"acetylcholine","acetylcoline"
551298257,"LH041a","ADL15","ADL15k","ADL15i_a_pct","FALSE","LHON","LHAD1c2","LHl2_medial","DPLal2_medial","2720102","good","Gad1-F-500014","good",TRUE,FALSE,"LHAD1","LHAD1c2",TRUE,3.31682146542828,4,"acetylcholine","acetylcoline"
360314997,"LH041b","ADL15","ADL15k","ADL15i_b_pct","FALSE","LHON","LHAD1d2","LHl2_medial","DPLal2_medial","2402951","good","L2446#1","good",FALSE,FALSE,"LHAD1","LHAD1d2",TRUE,3.5774358974359,4,"acetylcholine","acetylcoline"
391716661,"LH041b","ADL15","ADL15k","ADL15i_b_pct","FALSE","LHON","LHAD1d2","LHl2_medial","DPLal2_medial","2402951","good","none","none",FALSE,FALSE,"LHAD1","LHAD1d2",TRUE,3.65556711758585,4,"acetylcholine","acetylcoline"
5813096129,"LH041b","ADL15","ADL15k","ADL15i_b_pct","FALSE","LHON","LHAD1d2","LHl2_medial","DPLal2_medial","2402951","medium","none","none",FALSE,FALSE,"LHAD1","LHAD1d2",TRUE,3.68692070030896,4,"acetylcholine","acetylcoline"
546127037,"SLP011b","ADL02","ADL02m","ADL02og_pct","FALSE","LHON","LHAD1f4","SLPal1","DPLal1","2141315","good","none","none",FALSE,FALSE,"LHAD1","LHAD1f4",FALSE,5.03319502074689,5,"acetylcholine","acetylcoline"
546472393,"SLP011b","ADL02","ADL02m","ADL02og_pct","FALSE","LHON","LHAD1f4","SLPal1","DPLal1","3188248","medium","Cha-F-700185","medium",FALSE,FALSE,"LHAD1","LHAD1f4",FALSE,4.67954070981211,5,"acetylcholine","acetylcoline"
577835762,"SLP011b","ADL02","ADL02m","ADL02og_pct","FALSE","LHON","LHAD1f4","SLPal1","DPLal1","1879479","good","none","none",FALSE,FALSE,"LHAD1","LHAD1f4",FALSE,4.59209157127992,5,"acetylcholine","acetylcoline"
577844302,"SLP011b","ADL02","ADL02m","ADL02og_pct","FALSE","LHON","LHAD1f4","SLPal1","DPLal1","2141315","medium","none","none",FALSE,FALSE,"LHAD1","LHAD1f4",FALSE,5.08624229979466,5,"acetylcholine","acetylcoline"
359210228,"SLP012a","ADL02","ADL02k","ADL02f_pct","FALSE","LHON","LHAD1j1","SLPal1","DPLal1","none","none","none","none",TRUE,FALSE,"LHAD1","LHAD1j1",NA,4.17842323651452,4,"acetylcholine","acetylcoline"
453026933,"SLP013a","ADL02","ADL02l","ADL02k_pct","FALSE","LHON","LHAD1f3","SLPal1","DPLal1","2844174","good","none","none",FALSE,FALSE,"LHAD1","LHAD1f3b",TRUE,3.76258992805755,4,"acetylcholine","acetylcoline"
545786473,"SLP013a","ADL02","ADL02l","ADL02k_pct","FALSE","LHON","LHAD1f3","SLPal1","DPLal1","3917786","good","none","none",FALSE,FALSE,"LHAD1","LHAD1f3b",TRUE,4.27414330218069,4,"acetylcholine","acetylcoline"
