"","","","","3C","","","","","","","",""
"","","","","3B","","","","","","","",""
"L224","GMR_33E02_AV_01-20141219_42_E1","31D07","33E02","3A","1","Yes","Yes","Yes_TI_wk9","","Yes","Don't Care","SplitGAL4annotate/Image/Untitled_74.jpgSplitGAL4annotate/Image/Untitled_74.jpg"
"L234","GMR_34E07_AV_01-20141212_41_A5","42D01","34E07","4A","1","Yes","Yes","Yes_TI_wk11","Yes_TI_wk25","Yes","Weak","SplitGAL4annotate/Image/Untitled_76.jpgSplitGAL4annotate/Image/Untitled_76.jpg"
"L237","GMR_34E09_AV_01-20141212_41_B2","47B03","34E09","29B","1","Yes","Maybe","Yes_TI-wk22","","Yes","Needimage","SplitGAL4annotate/Image/Untitled_78.jpgSplitGAL4annotate/Image/Untitled_78.jpg"
"L240","GMR_34G01_XD_01-20141212_41_B3","54G12","34G01","1B1","1","Yes","20X Paavo 2015","Yes_TI_wk11","Yes_TI_wk25","Yes","Medium","SplitGAL4annotate/Image/Untitled_80.jpgSplitGAL4annotate/Image/Untitled_80.jpg"
"","","","","1A","","","","","","","",""
"L249","GMR_34H05_AV_01-20141219_41_G3","14B11","34H05","8A","1","Yes","Yes","Yes_TI_wk2","","No","Medium","SplitGAL4annotate/Image/Untitled_82.jpgSplitGAL4annotate/Image/Untitled_82.jpg"
"L258","GMR_37F05_AV_01-20141212_41_C3","21D06","37F05","54A","1","Yes","20X Paavo 2015","Yes_TI_wk2","Yes-rd2","Yes","Weak","SplitGAL4annotate/Image/Untitled_84.jpgSplitGAL4annotate/Image/Untitled_84.jpg"
"L259","GMR_37F05_AV_01-20141212_41_C5","93F07","37F05","54A","1","Yes","20X Paavo 2015","Yes_TI_wk1","Yes-TI_wk7","Yes","None","SplitGAL4annotate/Image/Untitled_86.jpgSplitGAL4annotate/Image/Untitled_86.jpg"
"L260","GMR_38F08_AV_01-20141212_41_D2","46E07","38F08","139","1","Yes","20X Shiuan-Tze 2015","Yes_TI_wk11","Case4_Wk5","Yes","Weak","SplitGAL4annotate/Image/Untitled_88.jpgSplitGAL4annotate/Image/Untitled_88.jpg"
"L267","GMR_38F08_AV_01-20141219_41_C5","46E11","38F08","1E","1","No","Yes","","","Yes","Strong","SplitGAL4annotate/Image/Untitled_90.jpgSplitGAL4annotate/Image/Untitled_90.jpg"
"L263","GMR_38F08_AV_01-20141219_41_G5","14B11","38F08","3B","1","Yes","Yes","Yes_TI_wk11","Yes-TI_flycore_18Apr-30May16","Yes","None","SplitGAL4annotate/Image/Untitled_92.jpgSplitGAL4annotate/Image/Untitled_92.jpg"
"L272","GMR_41H09_AV_01-20141219_41_D1","14E05","41H09","139","1","Yes","Yes","Yes_TI_wk2","Yes","Yes","Medium","SplitGAL4annotate/Image/Untitled_94.jpgSplitGAL4annotate/Image/Untitled_94.jpg"
"L279","GMR_41H09_AV_01-20141219_42_F4","70G05","41H09","51C","1","Yes","20X Shiuan-Tze 2015","Yes_TI_wk2","Yes-TI_wk15-16 (flycore)","Yes","None","SplitGAL4annotate/Image/Untitled_96.jpgSplitGAL4annotate/Image/Untitled_96.jpg"
"","","","","(7)","","","","","","","",""
"L291","GMR_45F12_AV_01-20141219_42_F2","31D07","45F12","3A","1","Yes","20X_PaavoMike_July_2016","Yes_TI_wk2","Case4_Wk5","Yes","Medium","SplitGAL4annotate/Image/Untitled_98.jpgSplitGAL4annotate/Image/Untitled_98.jpg"
"L298","GMR_46E07_XD_01-20141219_41_D5","38F08","46E07",,"","No","","","","Yes","Medium","SplitGAL4annotate/Image/Untitled_100.jpgSplitGAL4annotate/Image/Untitled_100.jpg"
"L303","GMR_46E11_XD_01-20141219_41_A1","14E05","46E11","(8A)","2","No","Yes","","","Yes","Strong","SplitGAL4annotate/Image/Untitled_102.jpgSplitGAL4annotate/Image/Untitled_102.jpg"
"","","","","29B","","","","","","","",""
"","","","","(6)","","","","","","","",""
"L300","GMR_46E11_XD_01-20141219_41_E1","47B03","46E11","101","2","Yes","Maybe","","","Yes","None","SplitGAL4annotate/Image/Untitled_104.jpgSplitGAL4annotate/Image/Untitled_104.jpg"
"","","","","29C","","","","","","","",""
"L307","GMR_47B01_XD_01-20141219_41_F3","20G01","47B01","1A","1","Yes","20X Paavo 2015","Yes_TI_wk11","Yes_TI_wk25","Yes","Strong","SplitGAL4annotate/Image/Untitled_106.jpgSplitGAL4annotate/Image/Untitled_106.jpg"
"L309","GMR_47B01_XD_01-20141219_42_F1","55C05","47B01","123","1","Yes","Yes","Yes_TI_wk2","Yes-TI_wk2","Yes","Needimage","SplitGAL4annotate/Image/Untitled_108.jpgSplitGAL4annotate/Image/Untitled_108.jpg"
"L314","GMR_47B03_AV_01-20141219_41_A3","14E05","47B03","(7)","2","Yes","","Yes_TI_wk2","Yes","No","Weak","SplitGAL4annotate/Image/Untitled_110.jpgSplitGAL4annotate/Image/Untitled_110.jpg"
"","","","","29C","","","","","","","",""
"","","","","29B","","","","","","","",""
"L325","GMR_47B03_AV_01-20141219_41_B5","54G12","47B03","NotPaper","1","Yes","20X Shiuan-Tze 2015","Yes_TI_wk2","Yes_TI_wk25","Yes","None","SplitGAL4annotate/Image/Untitled_112.jpgSplitGAL4annotate/Image/Untitled_112.jpg"
"","","","","","","","","","","","",""
"L320","GMR_47B03_AV_01-20141219_41_D3","33E02","47B03","7A","2","Yes","20X Shiuan-Tze 2015","Yes_TI_wk3","Yes","Yes","None","SplitGAL4annotate/Image/Untitled_114.jpgSplitGAL4annotate/Image/Untitled_114.jpg"
"","","","","29B","","","","","","","",""
"","","","","29C","","","","","","","",""
"L354","GMR_48G01_AV_01-20141121_43_E6","55C05","48G01","12A","2","No","Yes","","","Yes","Don't Care","SplitGAL4annotate/Image/Untitled_116.jpgSplitGAL4annotate/Image/Untitled_116.jpg"
"","","","","123","","","","","","","",""
"L345","GMR_48G01_AV_01-20141219_41_C1","16C09","48G01","12A","4","Yes","Yes","","","Yes","Weak","SplitGAL4annotate/Image/Untitled_118.jpgSplitGAL4annotate/Image/Untitled_118.jpg"
"","","","","","","","","","","","",""
"","","","","1D","","","","","","","",""
"","","","","140","","","","","","","",""
"L376","GMR_53B06_AV_01-20141121_43_A1","20A03","53B06","132","3","No","Yes","","","Yes","Strong","SplitGAL4annotate/Image/Untitled_120.jpgSplitGAL4annotate/Image/Untitled_120.jpg"
"","","","","3B","","","","","","","",""
"L378","GMR_53B06_AV_01-20141121_43_A5","31D07","53B06","3A","1","Yes","No","Yes_TI_wk9","Yes","Yes","Strong","SplitGAL4annotate/Image/Untitled_122.jpgSplitGAL4annotate/Image/Untitled_122.jpg"
"L371","GMR_53B06_AV_01-20141121_43_F5","10A09","53B06","PN","","Yes","20X Shiuan-Tze 2015","Yes_TI_wk3","Yes","Yes","Weak","SplitGAL4annotate/Image/Untitled_124.jpgSplitGAL4annotate/Image/Untitled_124.jpg"
"L372","GMR_53B06_AV_01-20141121_43_G2","65H10","53B06","27C","1","No","No","","","Yes","Don't Care","SplitGAL4annotate/Image/Untitled_126.jpgSplitGAL4annotate/Image/Untitled_126.jpg"
"","","","","(8A)","","","","","","","",""
"","","","","27A","","","","","","","",""
"L374","GMR_53B06_AV_01-20141121_43_G3","13E04","53B06","3E","1","Yes","","Yes_TI-wk26","Yes-TI_wk10","Yes","Medium","SplitGAL4annotate/Image/Untitled_128.jpgSplitGAL4annotate/Image/Untitled_128.jpg"
"L383","GMR_53C02_AV_01-20141121_43_B1","46E11","53C02","7B","3","Yes","Yes","","","Yes","Strong","SplitGAL4annotate/Image/Untitled_130.jpgSplitGAL4annotate/Image/Untitled_130.jpg"
"","","","","54A","","","","","","","",""
"","","","","(3B)","","","","","","","",""
"L404","GMR_53D01_AV_01-20141121_43_B3","42D01","53D01","4A","2","No","No","","","Yes","Strong","SplitGAL4annotate/Image/Untitled_132.jpgSplitGAL4annotate/Image/Untitled_132.jpg"
"","","","","137","","","","","","","",""
"","","","","3B","","","","","","","",""
"L408","GMR_53D01_AV_01-20141121_43_C1","64E06","53D01","3B","1","Yes","Yes","Yes_TI_wk3","Yes-TI_flycore_18Apr-30May16","Yes","Medium","SplitGAL4annotate/Image/Untitled_134.jpgSplitGAL4annotate/Image/Untitled_134.jpg"
"L409","GMR_53D01_AV_01-20141121_43_C3","79C09","53D01","125","1","Yes","Yes","Yes_TI-wk27","Yes-TI_flycore_18Apr-30May16","Yes","Weak","SplitGAL4annotate/Image/Untitled_136.jpgSplitGAL4annotate/Image/Untitled_136.jpg"
"","","","","4A","","","","","","","",""
"L416","GMR_54G12_AV_01-20141121_43_C6","20A03","54G12","NotPaper","2","Yes","Yes","Yes_TI_wk11","Yes-TI_flycore_18Apr-30May16","Yes","Don't Care","SplitGAL4annotate/Image/Untitled_138.jpgSplitGAL4annotate/Image/Untitled_138.jpg"
"","","","","","","","","","","","",""
"L417","GMR_54G12_AV_01-20141121_43_D1","20G01","54G12","1D","1","No","No","Yes_TI_wk3","","Yes","Strong","SplitGAL4annotate/Image/Untitled_140.jpgSplitGAL4annotate/Image/Untitled_140.jpg"
"L418","GMR_54G12_AV_01-20141121_43_G5","24C08","54G12","1H","1","Yes","Yes","Yes_TI_wk9","Yes_TI_wk26","Yes","Weak","SplitGAL4annotate/Image/Untitled_142.jpgSplitGAL4annotate/Image/Untitled_142.jpg"
"L419","GMR_54G12_AV_01-20141121_43_H2","33D07","54G12","1B","2","No","Yes","","","Yes","Don't Care","SplitGAL4annotate/Image/Untitled_144.jpgSplitGAL4annotate/Image/Untitled_144.jpg"
"","","","","3A","","","","","","","",""
"L420","GMR_54G12_AV_01-20141121_43_H3","33E02","54G12","1B","2","Yes","Maybe","Yes_TI-wk28","Yes-TI_flycore_18Apr-30May16","Yes","Strong","SplitGAL4annotate/Image/Untitled_146.jpgSplitGAL4annotate/Image/Untitled_146.jpg"
"","","","","","","","","","","","",""
"L452","GMR_59C09_AV_01-20141219_41_B1","65H10","59C09","70A","2","Yes","Yes","Yes_TI_wk3","","Yes","Medium","SplitGAL4annotate/Image/Untitled_148.jpgSplitGAL4annotate/Image/Untitled_148.jpg"
"","","","","27C","","","","","","","",""
"L451","GMR_59C09_AV_01-20141219_42_E6","50H07","59C09","70A","1","Yes","Yes","Yes_TI_wk3","Yes_TI_wk23","Yes","Medium","SplitGAL4annotate/Image/Untitled_150.jpgSplitGAL4annotate/Image/Untitled_150.jpg"
"L163","JRC_SS03224-20150123_41_A1 ","16C09","25B07","3D","2","Yes","20X Paavo 2015","Yes_TI_wk1","Yes-TI_wk15-16 (flycore)","Yes","None","SplitGAL4annotate/Image/Untitled_152.jpgSplitGAL4annotate/Image/Untitled_152.jpg"
"","","","","","","","","","","","",""
"L173","JRC_SS03225-20150123_41_A2","16C09","28A10","12A","1","Yes","20X Shiuan-Tze 2015","Yes_TI_wk1","Case4_Wk5","Yes","None","SplitGAL4annotate/Image/Untitled_154.jpgSplitGAL4annotate/Image/Untitled_154.jpg"
"L206","JRC_SS03227-20150123_41_A4","70G02","31D07","123","1","Yes","No","Yes_TI_wk3","Yes_TI_wk25","Yes","Strong","SplitGAL4annotate/Image/Untitled_156.jpgSplitGAL4annotate/Image/Untitled_156.jpg"
"L463","JRC_SS03234-20150123_41_B5","65H10","59F02","8A","1","Yes","Yes","Yes_TI_wk3","","Yes","Medium","SplitGAL4annotate/Image/Untitled_158.jpgSplitGAL4annotate/Image/Untitled_158.jpg"
"","","","","","","","","","","","",""
"L544","SS03238-20150123_41_C3","21D06","93F07","54A","1","Yes","Maybe","Yes_TI_wk3","Yes-TI_wk2","Yes","Medium","SplitGAL4annotate/Image/Untitled_160.jpgSplitGAL4annotate/Image/Untitled_160.jpg"
"L221","JRC_SS03228-20150123_41_A5","71D08","33E02","3C","1","No","No","","","Yes","Strong","SplitGAL4annotate/Image/Untitled_162.jpgSplitGAL4annotate/Image/Untitled_162.jpg"
"","","","","V2","","","","","","","",""
"L433","JRC_SS03232-20150123_41_B3","25B07","55C05","3F","1","Yes","Maybe","Yes_TI_wk3","Yes-TI_wk2","Yes","None","SplitGAL4annotate/Image/Untitled_164.jpgSplitGAL4annotate/Image/Untitled_164.jpg"
"L528","JRC_SS03237-20150123_41_C2","65H10","81E08","141","1","Yes","20X Shiuan-Tze 2015","Yes_TI_wk3","Yes-TI_wk3","Yes","Weak","SplitGAL4annotate/Image/Untitled_166.jpgSplitGAL4annotate/Image/Untitled_166.jpg"
"MB077B","GMR_MB077B-20140522_31_B3","25D01","19F09"," 70B","1","Yes","No","Yes_TI_wk3","Yes-TI_wk3","Yes","Weak","SplitGAL4annotate/Image/Untitled_168.jpgSplitGAL4annotate/Image/Untitled_168.jpg"
"MB295B","MB295B-20140411_32_G1","10E07","53C10","70B","1","Yes","Yes","Yes_TI_wk3","Yes-TI_wk3","Yes","None","SplitGAL4annotate/Image/Untitled_170.jpg"
"MB378B","MB378B-20140626_42_A1","16C09","53B06","12A","2","Yes","Yes","Yes_TI_wk9","","Yes","Needimage","SplitGAL4annotate/Image/Untitled_171.jpgSplitGAL4annotate/Image/Untitled_171.jpg"
"","","","","140","","","","","","","",""
"","","","","3A","","","","","","","",""
"MB380B","MB380B-20140411_32_E1","17A04","65D07","85","1","Yes","No","Yes_TI_wk10","Yes-TI_wk3","Yes","Weak","SplitGAL4annotate/Image/Untitled_173.jpgSplitGAL4annotate/Image/Untitled_173.jpg"
"MB390B","MB390B-20140409_32_J4","19B06","59G08","PN","0","Yes","Yes","Yes_TI_wk3","Yes_TI_wk27","Yes","Medium","SplitGAL4annotate/Image/Untitled_175.jpgSplitGAL4annotate/Image/Untitled_175.jpg"
"SS00504","GMR_SS00502-20140508_41_I1","25B07","45F12","3A","1","Yes","20X Shiuan-Tze 2015","Yes_TI_wk3","Yes-TI_wk3","Yes","Weak","SplitGAL4annotate/Image/Untitled_177.jpgSplitGAL4annotate/Image/Untitled_177.jpg"
"SS00502","SS00504-20140508_41_J1","25C01","54H01","2","1","Yes","Maybe","Yes_TI_wk3","Yes-rd2","Yes","Medium","SplitGAL4annotate/Image/Untitled_179.jpgSplitGAL4annotate/Image/Untitled_179.jpg"
"SS00584","SS00584-20140527_42_G1","49F09","55A03","PN","0","Yes","Yes","","Yes_TI_wk26","Yes","Weak","SplitGAL4annotate/Image/Untitled_181.jpgSplitGAL4annotate/Image/Untitled_181.jpg"
"SS00601","SS00601-20130123_33_B1","54G12","22B12","1A","1","Yes","Yes","Yes_TI-wk20","Yes_TI_wk26","Yes","Medium","SplitGAL4annotate/Image/Untitled_183.jpgSplitGAL4annotate/Image/Untitled_183.jpg"
"SS00637","SS00637-20130124_31_D4","Ddc","83H01","51C","1","Yes","Yes","Yes_TI_wk9","Yes_TI_wk27","Yes","Needimage","SplitGAL4annotate/Image/Untitled_185.jpgSplitGAL4annotate/Image/Untitled_185.jpg"
"SS01217","SS01217-20140708_41_E2","TDC2","BJD_127D06","70B","1","Yes","Yes","Yes_TI_wk9","Yes-TI_wk3","Yes","Strong","SplitGAL4annotate/Image/Untitled_187.jpgSplitGAL4annotate/Image/Untitled_187.jpg"
"SS01262","SS01262-20140710_42_A2","BJD_120H03","19B06","PN","0","Yes","20X Shiuan-Tze 2015","Yes_TI_wk1","Yes-rd2","Yes","None","SplitGAL4annotate/Image/Untitled_189.jpgSplitGAL4annotate/Image/Untitled_189.jpg"
"SS01331","SS01331-20140708_41_A6","BJD_110D05","40C02","PN","0","Yes","Yes","Yes_TI_wk9","Yes-TI_flycore_18Apr-30May16","Yes","Medium","SplitGAL4annotate/Image/Untitled_191.jpgSplitGAL4annotate/Image/Untitled_191.jpg"
"L2446","SS01371-20140617_41_F1","55C09","VT029753","16A","1","Yes","Yes","Yes_TI-wk25","Yes-rd2","Yes","Medium","SplitGAL4annotate/Image/Untitled_193.jpgSplitGAL4annotate/Image/Untitled_193.jpg"
"SS01372","GMR_SS01372-20140808_31_G1","25B07","55F01","3A","1","Yes","","Yes_TI_wk9","Yes_TI_wk27","Yes","Weak","SplitGAL4annotate/Image/Untitled_195.jpgSplitGAL4annotate/Image/Untitled_195.jpg"
"MB072C","GMR_MB072C-20121114_31_E5","20A02","67F03","120","1","Yes","Yes","Yes_TI_wk5","Yes_TI_wk19","Yes","Needimage","SplitGAL4annotate/Image/Untitled_197.jpgSplitGAL4annotate/Image/Untitled_197.jpg"
"MB155B","GMR_MB155B-20130123_33_A1","24E06","30H02","1A","2","Yes","No","Yes_TI_wk5","Yes-TI_flycore_18Apr-30May16","Yes","Medium","SplitGAL4annotate/Image/Untitled_199.jpgSplitGAL4annotate/Image/Untitled_199.jpg"
"","","","","","","","","","","","",""
"MB242A","GMR_MB242A-20130123_31_A1","64F07","57C10","142","2","Yes","Yes","","Yes_TI_wk19","Yes","Medium","SplitGAL4annotate/Image/Untitled_201.jpgSplitGAL4annotate/Image/Untitled_201.jpg"
"","","","","(1D)","","","","","","","",""
"MB583B","GMR_MB583B-20140609_41_B3","TH","42H01","143","1","Yes","No","","Yes-TI_flycore_18Apr-30May16","Yes","Medium","SplitGAL4annotate/Image/Untitled_203.jpgSplitGAL4annotate/Image/Untitled_203.jpg"
"SS00581","GMR_SS00581-20140527_42_E1","48H12","41B07","141","1","Yes","No","","Yes-rd2","Yes","Medium","SplitGAL4annotate/Image/Untitled_205.jpgSplitGAL4annotate/Image/Untitled_205.jpg"
"L507","JRC_SS03782-20150227_41_A4","34E09","78G09","141","1","Yes","Yes","","","Yes","Medium","SplitGAL4annotate/Image/Untitled_207.jpgSplitGAL4annotate/Image/Untitled_207.jpg"
"L580","JRC_SS03780-20150227_41_A3","82F03","94F11","1B1","2","Yes","No","Yes_TI-wk26","Yes-TI_flycore_18Apr-30May16","Yes","Strong","SplitGAL4annotate/Image/Untitled_209.jpgSplitGAL4annotate/Image/Untitled_209.jpg"
"","","","","","","","","","","","",""
"","","","","","","","","","","","",""
