,'D','DA1','DA2','DA3','DA4l','DC1','DC2','DC3','DL1','DL3','DL4','DL5','DM1','DM2','DM3','DM4','DM5','DM6','DP1m','VA1d','VA1v','VA2','VA3','VA4','VA5','VA6','VA7l','VA7m','VC1','VC2','VL1','VL2a','VL2p','VM1','VM2','VM3','VM4','VM7d','VM7v'
'JJ13',0,0,0,0,0,0,0,4.41943856,0,0,0,0,0,0,0,0,3.091941957,0,0,0,0,0,0,3.739752452,0,0,0,0,0,0,0,0,0,0,0,0,0,2.565044783,0
'JJ121',0,0,0,0,0,0,0,0,0,0,0,0,0.649948902,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.588118722,0,0,0,0
'JJ44',0,0,0,0,0,0,0,0,0,0,0,0,1.226247432,1.75615668,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.121472214,3.861708868,0,0,0
'JJ58',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.381133126,0,1.249721192,1.975557593,0,0,0,0,0,0,0,0,0,0,0,0,2.399486027,0,0,0,3.853038862,2.607459739,0
'JJ43',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.197611477,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
'JJ70',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.633621296,0,0.794411361,0,0,0,0,1.788925389,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
'JJ61',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.643046438,0,3.737665767,1.674338285,1.848260001,0,0,0,0,0,0,0,0,0,0,0,1.954080241,0,0,0,0,3.862233668,0
'JJ115',0,0,0,0,0,0,0.948059712,1.607387443,0,0,0,1.653127911,0,1.205390876,0,0,0,0,0,1.820530933,0,2.408751776,1.566044547,1.46846569,0,0,0,0,0,0.995608654,0,0,0,0,0,1.96407277,0,2.049628985,0
'JJ112',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.410382418,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
'JJ57',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.752831597,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
