"bodyid","type","cbf","m.type","c.type","cbf.change","class","cell.type","ItoLee_Hemilineage","Hartenstein_Hemilineage","FAFB.match","FAFB.match.quality","LM.match","LM.match.quality","published","type.change","pnt","is.lhn","connectivity.type","layer","ct.layer","User"
5813052205,"LH040c","ADL15","ADL15i","ADL15h_pct","FALSE","LHN","LHAD1b2","LHl2_medial","DPLal2_medial","3080225","good","L1539#7","good",TRUE,FALSE,"LHAD1",TRUE,"LHAD1b2a",2.9656699889258,3,"AJ"
544107335,"LH040d","ADL15","ADL15i","ADL15p_a_pct","FALSE","LHN","LHAD1b2","LHl2_medial","DPLal2_medial","3080086","good","L1539#3","good",TRUE,FALSE,"LHAD1",TRUE,"LHAD1b2b",3.14316469321851,3,""
673426956,"LH040d","ADL15","ADL15i","ADL15p_a_pct","FALSE","LHN","LHAD1b2","LHl2_medial","DPLal2_medial","3075158","good","none","none",TRUE,FALSE,"LHAD1",TRUE,"LHAD1b2b",2.99250535331906,3,""
606461310,"LH040e","ADL15","ADL15i","ADL15p_b_pct","FALSE","LHN","LHAD1b2","LHl2_medial","DPLal2_medial","4970161","good","L1539#10","good",TRUE,FALSE,"LHAD1",TRUE,"LHAD1b2c",3.23622047244094,3,""
762274975,"LH040e","ADL15","ADL15i","ADL15p_b_pct","FALSE","LHN","LHAD1b2","LHl2_medial","DPLal2_medial","1703751","good","121129c0","good",TRUE,FALSE,"LHAD1",TRUE,"LHAD1b2c",3.19954648526077,3,""
769199010,"LH040e","ADL15","ADL15i","ADL15p_b_pct","FALSE","LHN","LHAD1b2","LHl2_medial","DPLal2_medial","3080086","medium","120913c1","good",TRUE,FALSE,"LHAD1",TRUE,"LHAD1b2c",3.2744874715262,3,""
824349873,"LH040e","ADL15","ADL15i","ADL15p_b_pct","FALSE","LHN","LHAD1b2","LHl2_medial","DPLal2_medial","1703751","good","Gad1-F-200039","good",TRUE,FALSE,"LHAD1",TRUE,"LHAD1b2c",3.59483726150393,3,""
5813013202,"LH040e","ADL15","ADL15i","ADL15p_b_pct","FALSE","LHN","LHAD1b2","LHl2_medial","DPLal2_medial","2969221","poor","none","none",TRUE,FALSE,"LHAD1",TRUE,"LHAD1b2c",3.05764966740576,3,"AJ"
483017681,"LH040f","ADL15","ADL15i","ADL15q_pct","FALSE","LHN","LHAD1b2","LHl2_medial","DPLal2_medial","3080086","good","120704c1","good",TRUE,TRUE,"LHAD1",TRUE,"LHAD1b2d",3.07540983606557,3,""
729867599,"LH040f","ADL15","ADL15i","ADL15q_pct","FALSE","LHN","LHAD1c1","LHl2_medial","DPLal2_medial","2969221","good","Gad1-F-400233","good",TRUE,TRUE,"LHAD1",TRUE,"LHAD1c1b",2.82515991471215,2,""
5813022459,"LH040f","ADL15","ADL15i","ADL15q_pct","FALSE","LHN","LHAD1b2","LHl2_medial","DPLal2_medial","3078257","good","none","none",TRUE,TRUE,"LHAD1",TRUE,"LHAD1b2d",3.26537216828479,3,"AJ"
424776680,"LH041a","ADL15","ADL15k","ADL15i_a_pct","FALSE","LHN","LHAD1c2","LHl2_medial","DPLal2_medial","12252260","poor","Gad1-F-300262","good",TRUE,FALSE,"LHAD1",TRUE,"LHAD1c2",3.85206422018349,3,""
424780893,"LH041a","ADL15","ADL15k","ADL15i_a_pct","FALSE","LHN","LHAD1c2","LHl2_medial","DPLal2_medial","6520279","good","L494#2","good",TRUE,FALSE,"LHAD1",TRUE,"LHAD1c2",2.50732807215333,3,""
424781115,"LH041a","ADL15","ADL15k","ADL15i_a_pct","FALSE","LHN","LHAD1c2","LHl2_medial","DPLal2_medial","6837598","medium","none","none",TRUE,FALSE,"LHAD1",TRUE,"LHAD1c2",3.06373626373626,3,""
425121959,"LH041a","ADL15","ADL15k","ADL15i_a_pct","FALSE","LHN","LHAD1c2","LHl2_medial","DPLal2_medial","7803442","medium","L475#2","good",TRUE,FALSE,"LHAD1",TRUE,"LHAD1c2",2.8824200913242,3,""
551298257,"LH041a","ADL15","ADL15k","ADL15i_a_pct","FALSE","LHN","LHAD1c2","LHl2_medial","DPLal2_medial","2720102","good","Gad1-F-500014","good",TRUE,FALSE,"LHAD1",TRUE,"LHAD1c2",2.7027027027027,3,""
360314997,"LH041b","ADL15","ADL15k","ADL15i_b_pct","FALSE","LHN","LHAD1d2","LHl2_medial","DPLal2_medial","2402951","good","L2446#1","good",FALSE,FALSE,"LHAD1",TRUE,"LHAD1d2",2.97339246119734,3,""
391716661,"LH041b","ADL15","ADL15k","ADL15i_b_pct","FALSE","LHN","LHAD1d2","LHl2_medial","DPLal2_medial","2402951","good","none","none",FALSE,FALSE,"LHAD1",TRUE,"LHAD1d2",3.37799043062201,3,""
5813096129,"LH041b","ADL15","ADL15k","ADL15i_b_pct","FALSE","LHN","LHAD1d2","LHl2_medial","DPLal2_medial","2402951","medium","none","none",FALSE,FALSE,"LHAD1",TRUE,"LHAD1d2",3.01428571428571,3,"AJ"
298547259,"SLP009e","ADL02","ADL02h","ADL02oh_pct","FALSE","LHN","LHAD1j1","SLPal1","DPLal1","none","none","none","none",TRUE,FALSE,"LHAD1",TRUE,"LHAD1j1",4.51438053097345,4,""
328883690,"SLP009e","ADL02","ADL02h","ADL02oh_pct","FALSE","LHN","LHAD1j1","SLPal1","DPLal1","none","none","none","none",TRUE,FALSE,"LHAD1",TRUE,"LHAD1j1",4.53904555314534,4,""
391971977,"SLP009e","ADL02","ADL02h","ADL02oh_pct","FALSE","LHN","LHAD1j1","SLPal1","DPLal1","none","none","none","none",TRUE,FALSE,"LHAD1",TRUE,"LHAD1j1",4.54222222222222,4,""
422388958,"SLP009e","ADL02","ADL02h","ADL02oh_pct","FALSE","LHN","LHAD1j1","SLPal1","DPLal1","none","none","none","none",TRUE,FALSE,"LHAD1",TRUE,"LHAD1j1",4.62809917355372,4,""
5901195761,"SLP009e","ADL02","ADL02h","ADL02oh_pct","FALSE","LHN","LHAD1j1","SLPal1","DPLal1","none","none","none","none",TRUE,FALSE,"LHAD1",TRUE,"LHAD1j1",4.71875,4,""
546127037,"SLP011b","ADL02","ADL02m","ADL02og_pct","FALSE","LHN","LHAD1a8","SLPal1","DPLal1","2141315","good","none","none",TRUE,FALSE,"LHAD1",TRUE,"LHAD1a8",4.55187165775401,4,""
546472393,"SLP011b","ADL02","ADL02m","ADL02og_pct","FALSE","LHN","LHAD1a8","SLPal1","DPLal1","3188248","medium","Cha-F-700185","medium",TRUE,FALSE,"LHAD1",TRUE,"LHAD1a8",4.19375672766416,4,""
577835762,"SLP011b","ADL02","ADL02m","ADL02og_pct","FALSE","LHN","LHAD1a8","SLPal1","DPLal1","1879479","good","none","none",TRUE,FALSE,"LHAD1",TRUE,"LHAD1a8",4.15731573157316,4,""
577844302,"SLP011b","ADL02","ADL02m","ADL02og_pct","FALSE","LHN","LHAD1a8","SLPal1","DPLal1","2141315","medium","none","none",TRUE,FALSE,"LHAD1",TRUE,"LHAD1a8",4.6325237592397,4,""
453026933,"SLP013a","ADL02","ADL02l","ADL02k_pct","FALSE","LHN","LHAD1a7","SLPal1","DPLal1","2844174","good","none","none",TRUE,FALSE,"LHAD1",TRUE,"LHAD1a7a",3.2442996742671,3,""
545786473,"SLP013a","ADL02","ADL02l","ADL02k_pct","FALSE","LHN","LHAD1a7","SLPal1","DPLal1","3917786","good","none","none",TRUE,FALSE,"LHAD1",TRUE,"LHAD1a7a",3.83239595050619,3,""
639240544,"SLP013a","ADL02","ADL02l","ADL02k_pct","FALSE","LHN","LHAD1a7","SLPal1","DPLal1","3188248","poor","none","none",TRUE,FALSE,"LHAD1",TRUE,"LHAD1a7a",3.75056433408578,3,""
390953189,"SLP013b","ADL02","ADL02l","ADL02lk_pct","FALSE","LHN","LHAD1a7","SLPal1","DPLal1","9208086","poor","VGlut-F-400863","medium",TRUE,FALSE,"LHAD1",TRUE,"LHAD1a7b",2.84666666666667,3,""
5901193642,"SLP013b","ADL02","ADL02l","ADL02lk_pct","FALSE","LHN","LHAD1a7","SLPal1","DPLal1","9208086","poor","Cha-F-300272","good",TRUE,FALSE,"LHAD1",TRUE,"LHAD1a7b",2.93464052287582,3,"AJ"
359901157,"SLP017e","ADL03","ADL03o","ADL03m_g_pct","FALSE","LHN","LHAD1i1","SLPal2_ventral","DPLal3_ventral","2154566","medium","none","none",TRUE,FALSE,"LHAD1",TRUE,"LHAD1i1",3.94131455399061,3,""
359905678,"SLP017e","ADL03","ADL03o","ADL03m_g_pct","FALSE","LHN","LHAD1i1","SLPal2_ventral","DPLal3_ventral","2613237","poor","none","none",TRUE,FALSE,"LHAD1",TRUE,"LHAD1i1",3.46882217090069,3,""
452651486,"SLP017e","ADL03","ADL03o","ADL03m_g_pct","FALSE","LHN","LHAD1i1","SLPal2_ventral","DPLal3_ventral","none","none","none","none",TRUE,FALSE,"LHAD1",TRUE,"LHAD1i1",4.04838709677419,3,""
328542009,"SLP017g","ADL03","ADL03o","ADL03n_pct","FALSE","LHN","LHAD1i2","SLPal2_ventral","DPLal3_ventral","2154566","medium","none","none",FALSE,FALSE,"LHAD1",TRUE,"LHAD1i2a",3.91156462585034,3,""
452323015,"SLP017g","ADL03","ADL03o","ADL03n_pct","FALSE","LHN","LHAD1i2","SLPal2_ventral","DPLal3_ventral","1187681","medium","none","none",FALSE,FALSE,"LHAD1",TRUE,"LHAD1i2a",4.01096224116931,3,""
981547981,"SLP017g","ADL03","ADL03o","ADL03n_pct","FALSE","LHN","LHAD1i2","SLPal2_ventral","DPLal3_ventral","1187681","medium","none","none",FALSE,FALSE,"LHAD1",TRUE,"LHAD1i2a",3.60401891252955,3,""
360932188,"SLP017m","ADL03","ADL03o","ADL03p_pct","FALSE","LHN","LHAD1a5","SLPal2_ventral","DPLal3_ventral","1187681","poor","none","none",TRUE,TRUE,"LHAD1",TRUE,"LHAD1a5a",3.77526595744681,3,""
452651021,"SLP017m","ADL03","ADL03o","ADL03p_pct","FALSE","LHN","LHAD1a5","SLPal2_ventral","DPLal3_ventral","3324315","poor","none","none",TRUE,TRUE,"LHAD1",TRUE,"LHAD1a5a",3.41896758703481,3,""
5901193715,"SLP017m","ADL03","ADL03o","ADL03p_pct","FALSE","LHN","LHAD1i2","SLPal2_ventral","DPLal3_ventral","3324315","medium","none","none",FALSE,TRUE,"LHAD1",TRUE,"LHAD1i2b",3.82868020304569,3,"AJ"
327838570,"SLP018a","ADL03","ADL03c","ADL03c_pct","FALSE","LHN","LHAD1f1","primary","primary","11915231","poor","none","none",TRUE,FALSE,"LHAD1",TRUE,"LHAD1f1",3.69356597600872,3,""
545440837,"SLP020a","ADL03","ADL03j","ADL03j_pct","FALSE","LHN","LHAD1a2","SLPal2_ventral","DPLal3_ventral","1879479","good","Cha-F-400246","good",TRUE,FALSE,"LHAD1",TRUE,"LHAD1a2c",3.27382256297919,3,""
576812462,"SLP020a","ADL03","ADL03j","ADL03j_pct","FALSE","LHN","LHAD1a2","SLPal2_ventral","DPLal3_ventral","2141315","good","L1721#1","good",TRUE,FALSE,"LHAD1",TRUE,"LHAD1a2c",3.52625937834941,3,""
734693858,"SLP020a","ADL03","ADL03j","ADL03j_pct","FALSE","LHN","LHAD1a2","SLPal2_ventral","DPLal3_ventral","1056118","medium","none","none",TRUE,FALSE,"LHAD1",TRUE,"LHAD1a2c",4.10062893081761,3,""
420615275,"SLP021a","ADL03","ADL03m","ADL03q_pct","FALSE","LHN","LHAD1a5","SLPal2_ventral","DPLal3_ventral","5675915","medium","130524c0","good",TRUE,FALSE,"LHAD1",TRUE,"LHAD1a5b",3.53225806451613,3,""
421983723,"SLP021a","ADL03","ADL03m","ADL03q_pct","FALSE","LHN","LHAD1a5","SLPal2_ventral","DPLal3_ventral","1290929","poor","none","none",TRUE,FALSE,"LHAD1",TRUE,"LHAD1a5b",3.12935323383085,3,""
421992069,"SLP022c","ADL03","ADL03r","ADL03or_pct","FALSE","LHN","LHAD1e2","SLPal2_ventral","DPLal3_ventral","1149437","good","Gad1-F-700032","good",TRUE,FALSE,"LHAD1",TRUE,"LHAD1e2",3.61104582843713,3,""
5813115796,"SLP022c","ADL03","ADL03r","ADL03or_pct","FALSE","LHN","LHAD1e2","SLPal2_ventral","DPLal3_ventral","1041505","good","none","none",TRUE,FALSE,"LHAD1",TRUE,"LHAD1e2",3.80958549222798,3,"AJ"
485430434,"SLP022d","ADL03","ADL03r","ADL03t_pct","FALSE","LHN","LHAD1e1","SLPal2_ventral","DPLal3_ventral","1064853","good","none","none",TRUE,FALSE,"LHAD1",TRUE,"LHAD1e1",4.99405469678954,4,""
485775679,"SLP022d","ADL03","ADL03r","ADL03t_pct","FALSE","LHN","LHAD1e1","SLPal2_ventral","DPLal3_ventral","1070581","good","none","none",TRUE,FALSE,"LHAD1",TRUE,"LHAD1e1",5.12457912457913,4,""
610916994,"SLP022d","ADL03","ADL03r","ADL03t_pct","FALSE","LHN","LHAD1e1","SLPal2_ventral","DPLal3_ventral","1070581","medium","none","none",TRUE,FALSE,"LHAD1",TRUE,"LHAD1e1",4.95671981776765,4,""
641278400,"SLP022d","ADL03","ADL03r","ADL03t_pct","FALSE","LHN","LHAD1e1","SLPal2_ventral","DPLal3_ventral","1149437","good","Gad1-F-200365","good",TRUE,FALSE,"LHAD1",TRUE,"LHAD1e1",4.60677966101695,4,""
855414220,"SLP022d","ADL03","ADL03r","ADL03t_pct","FALSE","LHN","LHAD1e1","SLPal2_ventral","DPLal3_ventral","2477473","good","Gad1-F-200365","medium",TRUE,FALSE,"LHAD1",TRUE,"LHAD1e1",3.71531966224367,4,""
887148641,"SLP022d","ADL03","ADL03r","ADL03t_pct","FALSE","LHN","LHAD1e1","SLPal2_ventral","DPLal3_ventral","1074687","medium","fru-F-300009","good",TRUE,FALSE,"LHAD1",TRUE,"LHAD1e1",5.04895104895105,4,""
949534412,"SLP022d","ADL03","ADL03r","ADL03t_pct","FALSE","LHN","LHAD1e1","SLPal2_ventral","DPLal3_ventral","1074687","medium","none","none",TRUE,FALSE,"LHAD1",TRUE,"LHAD1e1",4.85649202733485,4,""
544107243,"SLP023a","ADL03","ADL03q","ADL03s_pct","ADL15","LHN","LHAD1b2","LHl2_medial","DPLal2_medial","1703751","good","Gad1-F-900037","good",TRUE,FALSE,"LHAD1",TRUE,"LHAD1b2e",3.6694648478489,3,""
730562988,"SLP023a","ADL03","ADL03q","ADL03s_pct","ADL15","LHN","LHAD1b2","LHl2_medial","DPLal2_medial","2842610","good","120816c1","good",TRUE,FALSE,"LHAD1",TRUE,"LHAD1b2e",3.56818181818182,3,""
451382570,"SLP075e","ADL15","ADL15g","ADL15j_pct","FALSE","LHN","LHAD1b4","LHl2_medial","DPLal2_medial","5030649","poor","none","none",FALSE,FALSE,"LHAD1",TRUE,"LHAD1b4",3.1057268722467,3,""
455828904,"SLP075e","ADL15","ADL15g","ADL15j_pct","FALSE","LHN","LHAD1b4","LHl2_medial","DPLal2_medial","2842610","poor","none","none",FALSE,FALSE,"LHAD1",TRUE,"LHAD1b4",3.43483023001095,3,""
5813047019,"SLP075e","ADL15","ADL15g","ADL15j_pct","FALSE","LHN","LHAD1b4","LHl2_medial","DPLal2_medial","1811499","medium","L1539#4","good",FALSE,FALSE,"LHAD1",TRUE,"LHAD1b4",3.11186440677966,3,"AJ"
421957539,"SLP075f","ADL15","ADL15g","ADL15k_pct","FALSE","LHN","LHAD1b3","LHl2_medial","DPLal2_medial","6852364","medium","none","none",FALSE,FALSE,"LHAD1",TRUE,"LHAD1b3",3.62272727272727,3,""
513404289,"SLP075f","ADL15","ADL15g","ADL15k_pct","FALSE","LHN","LHAD1b3","LHl2_medial","DPLal2_medial","11480149","poor","none","none",FALSE,FALSE,"LHAD1",TRUE,"LHAD1b3",4.24071991001125,3,""
517842578,"SLP075f","ADL15","ADL15g","ADL15k_pct","FALSE","LHN","LHAD1b3","LHl2_medial","DPLal2_medial","6901685","poor","none","none",FALSE,FALSE,"LHAD1",TRUE,"LHAD1b3",4.01521739130435,3,""
5813067728,"SLP075f","ADL15","ADL15g","ADL15k_pct","FALSE","LHN","LHAD1b3","LHl2_medial","DPLal2_medial","6852364","medium","none","none",FALSE,FALSE,"LHAD1",TRUE,"LHAD1b3",3.91475409836066,3,"AJ"
5901195496,"SLP075f","ADL15","ADL15g","ADL15k_pct","FALSE","LHN","LHAD1b3","LHl2_medial","DPLal2_medial","6852364","medium","none","none",FALSE,FALSE,"LHAD1",TRUE,"LHAD1b3",3.71078976640712,3,"AJ"
574027813,"CL012a","ADL12","ADL12b","ADL12b_pct","FALSE","LHN","LHAD2e3","VLPd1","DPLam","none","none","none","none",FALSE,FALSE,"LHAD2",TRUE,"LHAD2e3",3.69155844155844,3,""
760272462,"CL012a","ADL12","ADL12b","ADL12b_pct","FALSE","LHN","LHAD2e3","VLPd1","DPLam","none","none","none","none",FALSE,FALSE,"LHAD2",TRUE,"LHAD2e3",4.18400876232202,3,""
788519447,"CL012a","ADL12","ADL12b","ADL12b_pct","FALSE","LHN","LHAD2e3","VLPd1","DPLam","none","none","none","none",FALSE,FALSE,"LHAD2",TRUE,"LHAD2e3",3.52855543113102,3,""
573713481,"CL012b","ADL12","ADL12b","ADL12ob_pct","FALSE","LHN","LHAD2e1","VLPd1","DPLam","none","none","none","none",TRUE,FALSE,"LHAD2",TRUE,"LHAD2e1",4.21232123212321,4,""
576843029,"CL012b","ADL12","ADL12b","ADL12ob_pct","FALSE","LHN","LHAD2e1","VLPd1","DPLam","none","none","none","none",TRUE,FALSE,"LHAD2",TRUE,"LHAD2e1",4.48212351029252,4,""
666136034,"CL012c","ADL12","ADL12b","ADL12oe_pct","FALSE","LHN","LHAD2e2","VLPd1","DPLam","none","none","none","none",FALSE,FALSE,"LHAD2",TRUE,"LHAD2e2",3.74509803921569,3,""
917497441,"CL012c","ADL12","ADL12b","ADL12oe_pct","FALSE","LHN","LHAD2e2","VLPd1","DPLam","none","none","none","none",FALSE,FALSE,"LHAD2",TRUE,"LHAD2e2",3.73695652173913,3,""
390952738,"LH033a","ADL12","ADL12q","ADL12ot_pct","FALSE","LHN","LHAD2c1","VLPd1","DPLam","1105308","good","none","none",TRUE,FALSE,"LHAD2",TRUE,"LHAD2c1",2.66593647316539,2,""
361968122,"LH033b","ADL12","ADL12q","ADL12t_pct","FALSE","LHN","LHAD2c3","VLPd1","DPLam","none","none","none","none",FALSE,FALSE,"LHAD2",TRUE,"LHAD2c3",3.28602620087336,3,""
670219670,"LH034a","ADL12","ADL12o","ADL12r_pct","FALSE","LHN","LHAD2e4","VLPd1","DPLam","none","none","none","none",FALSE,FALSE,"LHAD2",TRUE,"LHAD2e4",3.60666666666667,3,""
702364805,"LH055a","ADL27","ADL27f","ADL27i_pct","FALSE","LHN","LHAD2b1","SLPad1","DPLl3","none","none","none","none",TRUE,FALSE,"LHAD2",TRUE,"LHAD2b1",3.14270500532481,3,""
