"","skid","catmaid_name","ItoLee_Lineage","ItoLee_Hemilineage","Hartenstein_Lineage","Hartenstein_Hemilineage","type","primary_neurite","anatomy_group","cell_type","cell","hemibrain_match","Frechter_et_al","closest_light_match","LM_match_quality","status","transmitter","other_names","citation","all_citations","new.cell.type","new.match","is.lhn"
"47","2851242","AV4a3#1 2851243 Dove RJVR","LHl4","LHl4_lateral","BLD1","BLD1_lateral","ON","AV4","AV4a","AV4a3","AV4a3#1","916773484","old","L247#5","cell.type","complete","unknown","none","Dolan et al. 2019","Bates & Schlegel et al. 2020; Frechter et al. 2019; Dolan et al. 2019","LHAV4g1","946123380",TRUE
"48","1911124","AV4 [LH.R] 1911125 FML PS RJVR","LHl1","LHl1_lateral","BLD4","BLD4_lateral","ON","AV4","AV4a","AV4a4","AV4a4#1","5813014585","old","L240#12","cell.type","complete","unknown","Local7","Dolan et al. 2019","Bates & Schlegel et al. 2020; Frechter et al. 2019; Dolan et al. 2019; Jeanne et al. 2018","LHAV4a4","980198319",TRUE
"49","1853423","AV4b1#1 1853423 Accursed  RJVR - check FML","LHl1","LHl1_lateral","BLD4","BLD4_lateral","ON","AV4","AV4a","AV4a4","AV4a4#2","5813014585","old","Gad1-F-400436","cell.type","complete","unknown","Local7","Dolan et al. 2019","Bates & Schlegel et al. 2020; Frechter et al. 2019; Dolan et al. 2019; Jeanne et al. 2018","LHAV4a4","5813014585",TRUE
"50","1967891","AV4b9#1 1967892 Sea-eagle PS","LHl4","LHl4_lateral","BLD1","BLD1_lateral","ON","AV4","AV4b","AV4b4","AV4b4#1","635091875","old","L1385#3","cell.type","preliminary","GABA","none","Dolan et al. 2019","Dolan et al. 2019","LHAV4b4","635091875",TRUE
"51","5990596","AV4b8 5990597 Snake-Eagle  ASB","LHl1","LHl1_lateral","BLD4","BLD4_lateral","ON","AV4","AV4b","AV4b8","AV4b8#1","579169910","old","131011c0","cell.type","preliminary","GABA","none","Dolan et al. 2019","Dolan et al. 2019","LHAV4e7","579169910",NA
"52","1812530","AV4 LH.R -> DA1 Upstream 1812531 RJVR","LHl1","LHl1_lateral","BLD4","BLD4_lateral","ON","AV4","AV4c","AV4c1","AV4c1#1","764006565","old","L421#1","cell.type","preliminary","unknown","none","Dolan et al. 2019","Dolan et al. 2019","LHAV4c1","764006565",FALSE
"53","488055","AV4b1#1 488056 downstream DA1 GSXEJ","LHl1","LHl1_lateral","BLD4","BLD4_lateral","ON","AV4","AV4c","AV4c2","AV4c2#1","1011616276","old","L421#14","cell.type","complete","unknown","Local7","Dolan et al. 2019","Bates & Schlegel et al. 2020; Frechter et al. 2019; Dolan et al. 2019; Jeanne et al. 2018","LHAV4c3","826762561",TRUE
"54","3439570","LAC AV4#1 3439571 RJVR Downstream of Ouro ECM Obara","LHl1","LHl1_lateral","BLD4","BLD4_lateral","ON","AV4","AV4c","AV4c3","AV4c3#1","5813133775","old","Cha-F-200329","cell.type","rough","unknown","none","Marin et al. 2020","Marin et al. 2020","LHAV4i1","698180393",TRUE
"55","2639558","AV4i1#1 [LH.R] 2639559 RJVR Upstream DL4 Euphonium","LHl1","LHl1_lateral","BLD4","BLD4_lateral","ON","AV4","AV4i","AV4i1","AV4i1#1","948812702","old","new:AV4i1","cell.type","complete","unknown","none","Huoviala et al. 2020","Bates & Schlegel et al. 2020; Huoviala et al. 2019","LHAV4d2","5813012083",TRUE
"56","1103745","AV4i1#2 DA2 PN downstream neuron 1103746 ARH","LHl1","LHl1_lateral","BLD4","BLD4_lateral","ON","AV4","AV4i","AV4i1","AV4i1#2","948812702","new","new:AV4i1","cell.type","rough","unknown","none","Huoviala et al. 2020","Huoviala et al. 2020","LHAV4d4","948812702",TRUE
