"bodyid","type","cbf","m.type","c.type","cbf.change","class","cell.type","ItoLee_Hemilineage","Hartenstein_Hemilineage","FAFB.match","FAFB.match.quality","LM.match","LM.match.quality","published","type.change","pnt"
"1318184105","PLP115b","PVL03","PVL03r","PVL03lm_pct",FALSE,"WEDPN","LHWEDLHPN12",NA,NA,"none","none","none","none",FALSE,FALSE,"LHWEDT"
"1595477160","PLP115b","PVL03","PVL03r","PVL03lm_pct",FALSE,"WEDPN","LHWEDLHPN12",NA,NA,"none","none","none","none",FALSE,FALSE,"LHWEDT"
"856131667","PLP117a","PVL03","PVL03q","PVL03e_pct",FALSE,"WEDPN","LHWEDLHPN6",NA,NA,"none","none","none","none",FALSE,FALSE,"LHWEDT"
"1005490210","PLP117a","PVL03","PVL03q","PVL03e_pct",FALSE,"WEDPN","LHWEDLHPN6",NA,NA,"none","none","none","none",FALSE,FALSE,"LHWEDT"
"1131310385","PLP117a","PVL03","PVL03q","PVL03e_pct",FALSE,"WEDPN","LHWEDLHPN6",NA,NA,"none","none","none","none",FALSE,FALSE,"LHWEDT"
"947858407","WED002a","ADM06","ADM06d","ADM06b_pct",FALSE,"WEDPN","LHWEDLHPN8a","WEDd1","DALd","none","none","none","none",FALSE,FALSE,"LHWEDT"
"1565802648","WED002a","ADM06","ADM06d","ADM06b_pct",FALSE,"WEDPN","LHWEDLHPN8a","WEDd1","DALd","none","none","none","none",FALSE,FALSE,"LHWEDT"
"2096909904","WED002a","ADM06","ADM06d","ADM06b_pct",FALSE,"WEDPN","LHWEDLHPN8a","WEDd1","DALd","none","none","none","none",FALSE,FALSE,"LHWEDT"
"2096914287","WED002a","ADM06","ADM06d","ADM06b_pct",FALSE,"WEDPN","LHWEDLHPN8a","WEDd1","DALd","none","none","none","none",FALSE,FALSE,"LHWEDT"
"5813055629","WED002a","ADM06","ADM06d","ADM06b_pct",FALSE,"WEDPN","LHWEDLHPN8a","WEDd1","DALd","none","none","none","none",FALSE,FALSE,"LHWEDT"
"2061028219","WED002b","ADM06","ADM06d","ADM06oa_pct",FALSE,"WEDPN","LHWEDLHPN8b","WEDd1","DALd","none","none","none","none",FALSE,FALSE,"LHWEDT"
"1539309050","WED002f","ADM06","ADM06d","ADM06oe_pct",FALSE,"WEDPN","LHWEDLHPN8c","WEDd1","DALd","none","none","none","none",FALSE,FALSE,"LHWEDT"
"1040609541","WED002g","ADM06","ADM06d","ADM06of_pct",FALSE,"WEDPN","LHWEDLHPN8d","WEDd1","DALd","none","none","none","none",FALSE,TRUE,"LHWEDT"
"1508615283","WED002g","ADM06","ADM06d","ADM06of_pct",FALSE,"WEDPN","LHWEDLHPN15","ALlv1","BAlp4","none","none","none","none",FALSE,TRUE,"LHWEDT"
"1607155570","WED008i","AVL01","AVL01z","AVL01z_b_pct",FALSE,"WEDPN","LHWEDLHPN9","WEDa2","BAlp3","none","none","none","none",FALSE,FALSE,"LHWEDT"
"5812991215","WED008i","AVL01","AVL01z","AVL01z_b_pct",FALSE,"WEDPN","LHWEDLHPN9","WEDa2","BAlp3","none","none","none","none",FALSE,FALSE,"LHWEDT"
"5812991267","WED008i","AVL01","AVL01z","AVL01z_b_pct",FALSE,"WEDPN","LHWEDLHPN9","WEDa2","BAlp3","none","none","none","none",FALSE,FALSE,"LHWEDT"
"2214846055","WED013a","AVL01","AVL01an","AVL01oll_pct",FALSE,"WEDPN","LHWEDLHPN1c","WEDa2","BAlp3","none","none","none","none",FALSE,FALSE,"LHWEDT"
"1630048134","WED041a","AVM06","AVM06j","AVM06n_pct",FALSE,"WEDPN","LHWEDLHPN16b","ALlv1","BAlp4","none","none","none","none",FALSE,FALSE,"LHWEDT"
