"bodyid","type","cbf","m.type","c.type","cbf.change","class","cell.type","ItoLee_Hemilineage","Hartenstein_Hemilineage","FAFB.match","FAFB.match.quality","LM.match","LM.match.quality","published","type.change","pnt"
"5813049920","LH067a","PDL07","PDL07n","PDL07d_pct",FALSE,"LHN","LHPV6g1","LHp2_lateral","DPLp1_lateral","1868440","good","Cha-F-600032","medium",TRUE,FALSE,"LHPV6"
"480590337","LH076a","PDL10","PDL10i","PDL10m_pct",FALSE,"LHN","LHPV6a1","LHp2_lateral","DPLp1_lateral","none","none","none","none",TRUE,FALSE,"LHPV6"
"480594756","LH076a","PDL10","PDL10i","PDL10m_pct",FALSE,"LHN","LHPV6a1","LHp2_lateral","DPLp1_lateral","none","none","none","none",TRUE,FALSE,"LHPV6"
"480599437","LH076a","PDL10","PDL10i","PDL10m_pct",FALSE,"LHN","LHPV6a1","LHp2_lateral","DPLp1_lateral","none","none","none","none",TRUE,FALSE,"LHPV6"
"480945354","LH076a","PDL10","PDL10i","PDL10m_pct",FALSE,"LHN","LHPV6a1","LHp2_lateral","DPLp1_lateral","none","none","none","none",TRUE,FALSE,"LHPV6"
"481627444","LH076a","PDL10","PDL10i","PDL10m_pct",FALSE,"LHN","LHPV6a1","LHp2_lateral","DPLp1_lateral","none","none","none","none",TRUE,FALSE,"LHPV6"
"511625768","LH076a","PDL10","PDL10i","PDL10m_pct",FALSE,"LHN","LHPV6a1","LHp2_lateral","DPLp1_lateral","none","none","none","none",TRUE,FALSE,"LHPV6"
"511626068","LH076a","PDL10","PDL10i","PDL10m_pct",FALSE,"LHN","LHPV6a1","LHp2_lateral","DPLp1_lateral","8739442","good","L62#1","good",TRUE,FALSE,"LHPV6"
"511626286","LH076a","PDL10","PDL10i","PDL10m_pct",FALSE,"LHN","LHPV6a1","LHp2_lateral","DPLp1_lateral","none","none","none","none",TRUE,FALSE,"LHPV6"
"511966731","LH076a","PDL10","PDL10i","PDL10m_pct",FALSE,"LHN","LHPV6a1","LHp2_lateral","DPLp1_lateral","none","none","none","none",TRUE,FALSE,"LHPV6"
"543684107","LH076a","PDL10","PDL10i","PDL10m_pct",FALSE,"LHN","LHPV6a1","LHp2_lateral","DPLp1_lateral","none","none","none","none",TRUE,FALSE,"LHPV6"
"574468840","LH076a","PDL10","PDL10i","PDL10m_pct",FALSE,"LHN","LHPV6a1","LHp2_lateral","DPLp1_lateral","none","none","none","none",TRUE,FALSE,"LHPV6"
"758154573","LH076a","PDL10","PDL10i","PDL10m_pct",FALSE,"LHN","LHPV6a1","LHp2_lateral","DPLp1_lateral","none","none","none","none",TRUE,FALSE,"LHPV6"
"5813012322","LH076a","PDL10","PDL10i","PDL10m_pct",FALSE,"LHN","LHPV6a1","LHp2_lateral","DPLp1_lateral","none","none","none","none",TRUE,FALSE,"LHPV6"
"5813039907","LH076a","PDL10","PDL10i","PDL10m_pct",FALSE,"LHN","LHPV6a1","LHp2_lateral","DPLp1_lateral","none","none","none","none",TRUE,FALSE,"LHPV6"
"357160116","LH076b","PDL10","PDL10i","PDL10oc_pct",FALSE,"LHN","LHPV6d1","LHp2_lateral","DPLp1_lateral","none","none","none","none",TRUE,FALSE,"LHPV6"
"392308518","LH076b","PDL10","PDL10i","PDL10oc_pct",FALSE,"LHN","LHPV6d1","LHp2_lateral","DPLp1_lateral","none","none","none","none",TRUE,FALSE,"LHPV6"
"330246657","LH077a","PDL10","PDL10d","PDL10oi_pct",FALSE,"LHN","LHPV6c2","LHp2_lateral","DPLp1_lateral","none","none","none","none",FALSE,FALSE,"LHPV6"
"387870860","LH077b","PDL10","PDL10d","PDL10y_pct",FALSE,"LHN","LHPV6c1","LHp2_lateral","DPLp1_lateral","1102557","good","none","none",TRUE,FALSE,"LHPV6"
"636102761","LH078a","PDL10","PDL10k","PDL10d_pct",FALSE,"LHN","LHPV6j1","LHp2_lateral","DPLp1_lateral","none","none","none","none",FALSE,FALSE,"LHPV6"
"5813012048","LH093a","PDL20","PDL20j","PDL20k_pct",FALSE,"LHN","LHPV6l1","unknown","BLP3_ventral","none","none","L509#2","medium",FALSE,FALSE,"LHPV6"
"849275471","PLP065b","PDL10","PDL10p","PDL10x_pct",FALSE,"LHN","LHPV6f2a","LHp2_medial","DPLp1_medial","none","none","none","none",FALSE,FALSE,"LHPV6"
"666916874","PLP079a","PDL14","PDL14e","PDL14g_pct",FALSE,"LHN","LHPV6f2b","LHp2_medial","DPLp1_medial","none","none","none","none",FALSE,FALSE,"LHPV6"
"881696475","PLP079d","PDL14","PDL14e","PDL14j_b_pct",FALSE,"LHN","LHPV6f2c","LHp2_medial","DPLp1_medial","none","none","none","none",FALSE,FALSE,"LHPV6"
"5813021912","PLP079e","PDL14","PDL14e","PDL14u_pct",FALSE,"LHN","LHPV6f7","LHp2_medial","DPLp1_medial","none","none","none","none",FALSE,FALSE,"LHPV6"
"5813067776","PLP079e","PDL14","PDL14e","PDL14u_pct",FALSE,"LHN","LHPV6f7","LHp2_medial","DPLp1_medial","none","none","none","none",FALSE,FALSE,"LHPV6"
