"bodyid","type","cbf","m.type","c.type","cbf.change","class","cell.type","ItoLee_Hemilineage","Hartenstein_Hemilineage","FAFB.match","FAFB.match.quality","LM.match","LM.match.quality","published","type.change","pnt","connectivity.type"
"1199181443","AVLP100a","AVL07","AVL07n","AVL07n_pct",FALSE,"LHN","LHAV2g4","SLPal1","VLPl2_dorsal","none","none","none","none",FALSE,FALSE,"LHAV2","LHAV2g4"
"542665187","LH012a","ADL04","ADL04j","ADL04i_pct",FALSE,"LHN","LHAV2h1","LHa2","BLVa1","none","none","none","none",TRUE,FALSE,"LHAV2","LHAV2h1_b"
"574378565","LH012a","ADL04","ADL04j","ADL04i_pct",FALSE,"LHN","LHAV2h1","LHa2","BLVa1","none","none","none","none",TRUE,FALSE,"LHAV2","LHAV2h1_b"
"606431658","LH012a","ADL04","ADL04j","ADL04i_pct",FALSE,"LHN","LHAV2h1","LHa2","BLVa1","none","none","none","none",TRUE,FALSE,"LHAV2","LHAV2h1_b"
"511970945","LH012b","ADL04","ADL04j","ADL04od_pct",FALSE,"LHN","LHAV2i1","LHa2","BLVa1","none","none","none","none",TRUE,FALSE,"LHAV2","LHAV2i1"
"603007915","LH012b","ADL04","ADL04j","ADL04od_pct",FALSE,"LHN","LHAV2i1","LHa2","BLVa1","none","none","none","none",TRUE,FALSE,"LHAV2","LHAV2i1"
"5813011770","LH012b","ADL04","ADL04j","ADL04od_pct",FALSE,"LHN","LHAV2i1","LHa2","BLVa1","none","none","none","none",TRUE,FALSE,"LHAV2","LHAV2i1"
"574352231","LH012c","ADL04","ADL04j","ADL04ok_pct",FALSE,"LHN","LHAV2h1","LHa2","BLVa1","none","none","none","none",TRUE,FALSE,"LHAV2","LHAV2h1_a"
"761239957","LH012c","ADL04","ADL04j","ADL04ok_pct",FALSE,"LHN","LHAV2h1","LHa2","BLVa1","none","none","none","none",TRUE,FALSE,"LHAV2","LHAV2h1_a"
"486444499","LH015a","ADL04","ADL04o","ADL04p_a_pct",FALSE,"LHN","LHAV2a2","LHa2","BLVa1","none","none","none","none",TRUE,FALSE,"LHAV2","LHAV2a2"
"612285653","LH015a","ADL04","ADL04o","ADL04p_a_pct",FALSE,"LHN","LHAV2a2","LHa2","BLVa1","none","none","none","none",TRUE,FALSE,"LHAV2","LHAV2a2"
"674001478","LH015a","ADL04","ADL04o","ADL04p_a_pct",FALSE,"LHN","LHAV2a2","LHa2","BLVa1","none","none","none","none",TRUE,FALSE,"LHAV2","LHAV2a2"
"948135822","LH015a","ADL04","ADL04o","ADL04p_a_pct",FALSE,"LHN","LHAV2a2","LHa2","BLVa1","none","none","none","none",TRUE,FALSE,"LHAV2","LHAV2a2"
"424384254","LH015b","ADL04","ADL04o","ADL04p_b_pct",FALSE,"LHN","LHAV2k9","LHa2","BLVa1","none","none","none","none",FALSE,FALSE,"LHAV2","LHAV2k9"
"855043038","LH015b","ADL04","ADL04o","ADL04p_b_pct",FALSE,"LHN","LHAV2k9","LHa2","BLVa1","none","none","none","none",FALSE,FALSE,"LHAV2","LHAV2k9"
"5813039931","LH015b","ADL04","ADL04o","ADL04p_b_pct",FALSE,"LHN","LHAV2k9","LHa2","BLVa1","none","none","none","none",FALSE,FALSE,"LHAV2","LHAV2k9"
"485723857","LH015c","ADL04","ADL04o","ADL04u_pct",FALSE,"LHN","LHAV2k5","LHa2","BLVa1","none","none","none","none",FALSE,FALSE,"LHAV2","LHAV2k5"
"486073599","LH015c","ADL04","ADL04o","ADL04u_pct",FALSE,"LHN","LHAV2k5","LHa2","BLVa1","none","none","none","none",FALSE,FALSE,"LHAV2","LHAV2k5"
"516762858","LH015c","ADL04","ADL04o","ADL04u_pct",FALSE,"LHN","LHAV2k5","LHa2","BLVa1","none","none","none","none",FALSE,FALSE,"LHAV2","LHAV2k5"
"485732870","LH015d","ADL04","ADL04o","ADL04z_pct",FALSE,"LHN","LHAV2e4","LHa2","BLVa1","none","none","none","none",FALSE,FALSE,"LHAV2","LHAV2e4_b"
"329206270","LH017a","ADL04","ADL04n","ADL04n_pct",FALSE,"LHN","LHAV2k4","LHa2","BLVa1","none","none","none","none",FALSE,FALSE,"LHAV2","LHAV2k4"
